Class,Accuracy
black-eyed susan,94.11764705882354%
bishop of llandaff,93.25842696629213%
gazania,91.37931034482759%
pink-yellow dahlia?,91.01123595505618%
carnation,9.375%
sunflower,87.8048780487805%
osteospermum,87.8048780487805%
cautleya spicata,86.66666666666667%
oxeye daisy,86.20689655172414%
orange dahlia,85.1063829787234%
cape flower,81.81818181818181%
camellia,8.450704225352112%
blanket flower,79.3103448275862%
pelargonium,78.43137254901961%
silverbush,78.125%
globe thistle,76.0%
spear thistle,75.0%
common dandelion,73.61111111111111%
geranium,71.27659574468085%
wild pansy,70.76923076923077%
snapdragon,7.462686567164179%
alpine sea holly,69.56521739130434%
gaura,65.95744680851064%
yellow iris,65.51724137931035%
purple coneflower,63.07692307692308%
fire lily,60.0%
barbeton daisy,6.542056074766355%
columbine,6.0606060606060606%
buttercup,58.8235294117647%
hard-leaved pocket orchid,57.5%
tree poppy,57.142857142857146%
toad lily,57.142857142857146%
colt's foot,56.71641791044776%
pincushion flower,56.41025641025641%
great masterwort,55.55555555555556%
pink primrose,55.0%
moon orchid,55.0%
stemless gentian,54.34782608695652%
bird of paradise,53.84615384615385%
love in the mist,53.84615384615385%
desert-rose,53.48837209302326%
tree mallow,52.63157894736842%
hippeastrum ,51.785714285714285%
artichoke,51.724137931034484%
frangipani,50.68493150684932%
watercress,50.609756097560975%
red ginger,50.0%
bearded iris,50.0%
windflower,50.0%
bougainvillea,5.555555555555555%
canterbury bells,5.0%
tiger lily,48.0%
ruby-lipped cattleya,47.27272727272727%
mexican petunia,45.16129032258065%
prince of wales feathers,45.0%
californian poppy,43.90243902439025%
globe-flower,42.857142857142854%
grape hyacinth,42.857142857142854%
blackberry lily,42.857142857142854%
marigold,42.5531914893617%
giant white arum lily,41.666666666666664%
balloon flower,41.37931034482759%
english marigold,40.0%
magnolia,39.53488372093023%
king protea,37.93103448275862%
sweet william,36.92307692307692%
trumpet creeper,36.8421052631579%
wallflower,35.79545454545455%
corn poppy,33.333333333333336%
thorn apple,33.0%
poinsettia,32.87671232876713%
bee balm,32.608695652173914%
spring crocus,31.818181818181817%
fritillary,30.985915492957748%
daffodil,30.76923076923077%
lotus,29.05982905982906%
japanese anemone,28.571428571428573%
petunia,28.15126050420168%
lenten rose,23.404255319148938%
monkshood,23.076923076923077%
mallow,21.73913043478261%
passion flower,21.645021645021647%
peruvian lily,20.967741935483872%
bromelia,20.930232558139537%
morning glory,20.689655172413794%
bolero deep blue,20.0%
azalea,19.736842105263158%
rose,17.218543046357617%
sweet pea,16.666666666666668%
foxglove,16.197183098591548%
canna lily,16.129032258064516%
garden phlox,16.0%
ball moss,15.384615384615385%
primula,15.068493150684931%
mexican aster,15.0%
cyclamen ,14.925373134328359%
siam tulip,14.285714285714286%
hibiscus,13.513513513513514%
anthurium,12.941176470588236%
sword lily,11.818181818181818%
water lily,10.919540229885058%
clematis,10.869565217391305%
